,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.9242424242424242,0.9692307692307692,0.9838709677419355,0.96875,0.9693360403037823,0.9698135198135198
recall,0.9545454545454546,0.9838709677419355,0.9545454545454546,0.9838709677419355,0.96875,0.969208211143695,0.96875
f1-score,0.9767441860465117,0.9531249999999999,0.9618320610687022,0.9838709677419355,0.96875,0.9688930537142874,0.968905399646891
support,66.0,62.0,66.0,62.0,0.96875,256.0,256.0
