,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.9577464788732394,0.8524590163934426,1.0,0.953125,0.9525513738166705,0.9588071461556222
recall,0.8783783783783784,1.0,1.0,0.9516129032258065,0.953125,0.9574978204010463,0.953125
f1-score,0.935251798561151,0.9784172661870503,0.9203539823008848,0.9752066115702479,0.953125,0.9523074146548335,0.9533680632470547
support,74.0,68.0,52.0,62.0,0.953125,256.0,256.0
