,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,0.9821428571428571,0.9848484848484849,0.9130434782608695,1.0,0.96875,0.9700087050630529,0.9705787800854038
recall,0.9322033898305084,0.9848484848484849,1.0,0.9558823529411765,0.96875,0.9682335569050424,0.96875
f1-score,0.9565217391304348,0.9848484848484849,0.9545454545454545,0.9774436090225563,0.96875,0.9683398218867326,0.9688957486663794
support,59.0,66.0,63.0,68.0,0.96875,256.0,256.0
