,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.9841269841269841,1.0,1.0,0.99609375,0.996031746031746,0.996155753968254
recall,1.0,1.0,0.9848484848484849,1.0,0.99609375,0.9962121212121212,0.99609375
f1-score,1.0,0.9919999999999999,0.9923664122137404,1.0,0.99609375,0.9960916030534351,0.9960944656488548
support,72.0,62.0,66.0,56.0,0.99609375,256.0,256.0
