,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,0.9848484848484849,0.85,0.9014084507042254,1.0,0.93359375,0.9340642338881776,0.9397401335093897
recall,0.8441558441558441,0.9622641509433962,1.0,0.9516129032258065,0.93359375,0.9395082245812617,0.93359375
f1-score,0.9090909090909091,0.9026548672566371,0.9481481481481481,0.9752066115702479,0.93359375,0.9337751340164855,0.9335351537634321
support,77.0,53.0,64.0,62.0,0.93359375,256.0,256.0
