,precision,recall,f1-score,support
0,0.9761904761904762,1.0,0.9879518072289156,41.0
1,1.0,0.975609756097561,0.9876543209876543,41.0
2,1.0,1.0,1.0,46.0
accuracy,0.9921875,0.9921875,0.9921875,0.9921875
macro avg,0.9920634920634921,0.991869918699187,0.9918687094055233,128.0
weighted avg,0.9923735119047619,0.9921875,0.9921863379443701,128.0
