,AUC (pixel),AUPRO
carpet,0.9923173875415825,0.9578771921188949
grid,0.8926936400617316,0.737814180467361
leather,0.9938074665722703,0.978301499134758
tile,0.940252120213918,0.8259648313356588
wood,0.9582821911030367,0.8817517973275404
average,0.9554705610985078,0.8763419000768427
