,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,0.9253731343283582,0.9871794871794872,0.7941176470588235,0.9767441860465116,0.91796875,0.9208536136532951,0.9277256160646181
recall,0.9538461538461539,0.9625,0.9818181818181818,0.75,0.91796875,0.912041083916084,0.91796875
f1-score,0.9393939393939394,0.9746835443037976,0.8780487804878049,0.8484848484848485,0.91796875,0.9101527781675977,0.9173559533081665
support,65.0,80.0,55.0,56.0,0.91796875,256.0,256.0
