,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.8227848101265823,0.8133333333333334,0.9104477611940298,0.8671875,0.8866414761634864,0.8867079357957051
recall,0.5555555555555556,1.0,0.9838709677419355,0.9242424242424242,0.8671875,0.8659172368849789,0.8671875
f1-score,0.7142857142857143,0.9027777777777779,0.8905109489051095,0.9172932330827067,0.8671875,0.8562169185128271,0.8571624522309805
support,63.0,65.0,62.0,66.0,0.8671875,256.0,256.0
