,AUC (pixel),IOU,AUPRO
carpet,0.99,0.73,0.96
grid,0.89,0.55,0.74
leather,0.99,0.66,0.98
tile,0.94,0.62,0.83
wood,0.96,0.65,0.88
average,0.96,0.64,0.88
