,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.8414634146341463,0.921875,0.9298245614035088,0.9140625,0.9232907440094138,0.9222852178858446
recall,0.7794117647058824,0.9857142857142858,0.9076923076923077,1.0,0.9140625,0.9182045895281189,0.9140625
f1-score,0.8760330578512397,0.9078947368421053,0.9147286821705427,0.9636363636363636,0.9140625,0.9155732101250629,0.912706918463454
support,68.0,70.0,65.0,53.0,0.9140625,256.0,256.0
