,precision,recall,f1-score,support
0,0.9310344827586207,0.627906976744186,0.7499999999999999,43.0
1,0.7241379310344828,0.9545454545454546,0.823529411764706,44.0
2,1.0,1.0,1.0,41.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.8850574712643677,0.8608174770965468,0.8578431372549019,128.0
weighted avg,0.8820043103448276,0.859375,0.8553538602941176,128.0
