,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.8873239436619719,0.9482758620689655,1.0,0.95703125,0.9588999514327343,0.959946234519184
recall,0.9423076923076923,1.0,0.9016393442622951,0.975,0.95703125,0.9547367591424969,0.95703125
f1-score,0.9702970297029703,0.9402985074626865,0.9243697478991596,0.9873417721518987,0.95703125,0.9555767643041787,0.9572974527683763
support,52.0,63.0,61.0,80.0,0.95703125,256.0,256.0
