,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.927536231884058,1.0,1.0,0.98046875,0.9818840579710145,0.9818840579710145
recall,0.9583333333333334,1.0,0.9615384615384616,1.0,0.98046875,0.9799679487179488,0.98046875
f1-score,0.9787234042553191,0.9624060150375939,0.9803921568627451,1.0,0.98046875,0.9803803940389145,0.980634618068952
support,72.0,64.0,52.0,68.0,0.98046875,256.0,256.0
