,precision,recall,f1-score,support
0,0.9318181818181818,0.9534883720930233,0.942528735632184,43.0
1,0.9523809523809523,0.9090909090909091,0.9302325581395349,44.0
2,0.9761904761904762,1.0,0.9879518072289156,41.0
accuracy,0.953125,0.953125,0.953125,0.953125
macro avg,0.9534632034632035,0.9541930937279774,0.9535710336668782,128.0
weighted avg,0.9530996347402596,0.953125,0.952851502239914,128.0
