,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.8387096774193549,0.8412698412698413,0.9240506329113924,0.8984375,0.9010075379001472,0.9074513680267942
recall,0.7536231884057971,0.9811320754716981,0.8833333333333333,0.9864864864864865,0.8984375,0.9011437709243287,0.8984375
f1-score,0.859504132231405,0.9043478260869565,0.8617886178861788,0.954248366013072,0.8984375,0.8949722355544031,0.8967106096277877
support,69.0,53.0,60.0,74.0,0.8984375,256.0,256.0
