,precision,recall,f1-score,support
0,0.96875,0.7209302325581395,0.8266666666666667,43.0
1,1.0,0.8863636363636364,0.9397590361445783,44.0
2,0.7017543859649122,0.975609756097561,0.8163265306122448,41.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.8901681286549707,0.8609678750064456,0.8609174111411634,128.0
weighted avg,0.8939701548793859,0.859375,0.8622300938447668,128.0
