,precision,recall,f1-score,support
0,0.7272727272727273,0.9302325581395349,0.8163265306122448,43.0
1,0.9117647058823529,0.7045454545454546,0.794871794871795,44.0
2,1.0,0.9512195121951219,0.975,41.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.8796791443850268,0.8619991749600371,0.8620661084946799,128.0
weighted avg,0.8780497994652406,0.859375,0.8597765608647305,128.0
