,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,0.9736842105263158,0.796875,0.8148148148148148,0.9863013698630136,0.8828125,0.8929188488010361,0.8982879166838775
recall,0.5873015873015873,0.9272727272727272,1.0,1.0,0.8828125,0.8786435786435787,0.8828125
f1-score,0.7326732673267327,0.8571428571428571,0.8979591836734693,0.993103448275862,0.8828125,0.8702196891047302,0.8752735444638763
support,63.0,55.0,66.0,72.0,0.8828125,256.0,256.0
