,AUC (image level),F1 (image level),AUPRO (image level)
bottle,0.9954545454545455,0.9361702127659575,0.6775619611566935
cable,0.9176470588235294,0.7878787878787877,0.5245692739778611
capsule,0.717948717948718,0.36363636363636365,0.3032962649018493
grid,0.8628571428571429,0.888888888888889,0.5417431420968215
screw,0.65625,0.48484848484848486,0.2424701642058352
tile,0.9653679653679654,0.8750000000000001,0.5018224900732513
toothbrush,0.8840579710144929,0.7999999999999999,0.3959157696812116
zipper,0.9375,0.9056603773584904,0.5057855288476988
average,0.8671354251832992,0.7552603894221216,0.46164557436765274
