,auc (image level),f1 (image level)
bottle,0.9944444444444444,0.9843749999999999
cable,0.8449098621420996,0.773006134969325
capsule,0.7428571428571429,0.2903225806451613
grid,0.9072681704260651,0.9026548672566371
screw,0.5902893249085468,0.4769230769230769
tile,0.854978354978355,0.8770053475935828
toothbrush,0.911111111111111,0.7599999999999999
zipper,0.9839285714285715,0.9552238805970149
average,0.8537233727870419,0.7524388609980998
