,auc (image level),f1 (image level)
bottle,0.9849206349206349,0.9672131147540983
grid,0.923141186299081,0.86
screw,0.5255175240828038,0.016666666666666666
tile,0.9632034632034633,0.9390243902439025
toothbrush,0.9333333333333333,0.6666666666666666
