,AUC (pixel),AUPRO
bottle,0.9097455290097519,0.8454295253353471
cable,0.8886605251307668,0.6396167165144255
capsule,0.8608552960266214,0.6222127198771561
hazelnut,0.9644786414914199,0.9415976099790911
metal_nut,0.7577635265407926,0.7349049567642106
pill,0.9489019206482557,0.7956431980339754
screw,0.964708970178144,0.8484995046611215
toothbrush,0.9109024661734894,0.7167985138019588
transistor,0.6753100753614552,0.4780078374003926
zipper,0.9801536249066781,0.9228900350084678
average,0.8861480575467375,0.7545600617376147
