,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.9701492537313433,0.7471264367816092,0.7808219178082192,0.84375,0.8745244020802929,0.8780755601421331
recall,0.4461538461538462,0.9558823529411765,0.9848484848484849,1.0,0.84375,0.8467211709858768,0.84375
f1-score,0.6170212765957447,0.962962962962963,0.8496732026143791,0.8769230769230769,0.84375,0.8266451297740409,0.8267613719428488
support,65.0,68.0,66.0,57.0,0.84375,256.0,256.0
