,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,1.0,0.7183098591549296,0.78,0.96875,0.87109375,0.8667649647887323,0.883903017715669
recall,0.8875,0.9622641509433962,0.6724137931034483,0.9538461538461539,0.87109375,0.8690060244732496,0.87109375
f1-score,0.9403973509933775,0.8225806451612904,0.7222222222222223,0.9612403100775193,0.87109375,0.8616101321136024,0.8718674660818213
support,80.0,53.0,58.0,65.0,0.87109375,256.0,256.0
