,good,polygon,rectangles,line,accuracy,macro avg,weighted avg
precision,0.9454545454545454,0.9696969696969697,0.8695652173913043,0.7878787878787878,0.890625,0.8931488801054017,0.8968914690382082
recall,0.7323943661971831,0.9846153846153847,1.0,0.8666666666666667,0.890625,0.8959191043698086,0.890625
f1-score,0.8253968253968254,0.9770992366412214,0.9302325581395349,0.8253968253968254,0.890625,0.8895313613936018,0.8884858906134203
support,71.0,65.0,60.0,60.0,0.890625,256.0,256.0
